;;;;;;;;;;;;;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Speed-up Ideal;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Todos os resultados;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;32;69,902037;452,5568;3413,357929;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;59,325977;357,930822;2653,303558;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;59,311122;351,620428;2733,297853;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;61,979834;359,336241;2644,190949;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;64,820779;353,38849;2662,366852;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;61,01122;362,500552;2667,261257;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;59,697031;355,464048;2656,31225;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;62,189823;354,231389;2646,13204;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;60,065762;357,098014;2657,677112;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;58,527845;371,416755;2643,778068;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;40;59,111589;363,290408;2640,132631;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;284,333038;530,505487;2504,27897;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;286,931253;676,825293;2307,348287;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;274,3695;678,865978;2528,53788;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;277,48728;404,938784;2331,233487;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;279,258693;629,203539;2487,779306;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;300,225056;526,132436;2990,090278;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;272,112795;398,083881;2614,681199;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;280,890456;572,830315;2579,971336;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;273,711967;462,826606;2667,856211;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;48;265,697431;609,358658;2436,571748;;;;;;;;;;;
